module,code,video_chorale_tb_edito,statut_script_temoin,ce_que_racontent_les_chercheurs_tb_edito,videos_expert_envisagees,vue_preconisation_videos_expertise,objectif_pedagogique,aborde_par_temoins_et_points_a_developper,intervenants_experts_retenus,alignement_sujet_temoin_pct,niveau_alignement_sujet,commentaire_alignement_sujet
M1,T1,VIDÉO 1 : POURQUOI OSER ?,Script monte (Trancript_Video1.docx),"Script monté (Trancript_Video1.docx), 5 temoins, banque Clarisse 38 seq. Resume: leurs motivations pour innover et le sens qu'ils donnent a leur demarche; leur parcours de recherche comme point de depart de l'innovation. Vigilance: pas de manque majeur au niveau du cadrage sujet. Temoins: Sylvia Cohen-Kaminski, Loïc Rajjou, Muriel Thomas, Yann Monier, Jean-Jacques Greffet.","Vidéo Expert 1: Reconnaître les différentes origines d’une innovation. Tech-push, market-pull, observation d’usage, rencontre, sérendipité, maturation progressive. — Retenu: Bernard Yannou","Cible expert (Vidéo Expert 1): Consolider les acquis avec des cas d'application, des erreurs frequentes et des reperes de mise en oeuvre. | Point d'appui temoins: leurs motivations pour innover et le sens qu'ils donnent a leur demarche.","L’apprenant comprend qu’il n’existe pas un seul « moment Eurêka ». Il sait repérer dans ses travaux un résultat, une observation ou une rencontre susceptible d’ouvrir une démarche d’innovation.","Abordé: oser, innovation, recherche, parcours | A développer: utilite",Bernard Yannou,80,Alignement fort,"Alignement sujet fort: les temoins abordent clairement leurs motivations pour innover et le sens qu'ils donnent a leur demarche, et les principaux axes attendus apparaissent globalement couverts."
M1,T2,VIDÉO 2 : DE LA RECHERCHE À L’INNOVATION,Script monte (Trancript_Video2.docx),"Script monté (Trancript_Video2.docx), 5 temoins, banque Clarisse 24 seq. Resume: la necessite d'aller voir hors du laboratoire pour comprendre le besoin reel. Vigilance: la facon de qualifier le probleme concret a resoudre; des methodes explicites de validation (tests, hypotheses, indicateurs). Temoins: Sylvia Cohen-Kaminski, Loïc Rajjou, Yann Monier, Muriel Thomas, Jean-Jacques Greffet.","Vidéo Expert 2: Passer d’une technologie à un problème à résoudre. Utilisateur, client, bénéficiaire, usage et proposition de valeur. — Retenu: Gregoire Burgé | Vidéo Expert 3: Poser ou identifier le bon problème avant de chercher la solution. Validation, hypothèses, expérimentation, pivot et apprentissage. — Retenu: Gregoire Burgé","Cible expert (Vidéo Expert 2, Vidéo Expert 3): Prioriser la facon de qualifier le probleme concret a resoudre, puis structurer un cadre operatoire concret (methode, criteres, points de decision). | Point d'appui temoins: la necessite d'aller voir hors du laboratoire pour comprendre le besoin reel.",L’apprenant sait distinguer une idée intéressante d’un besoin validé. Il sait formuler : « Pour qui ? Dans quelle situation ? Quel problème concret ? Quelle preuve du besoin ? »,"Abordé: besoin, usage | A développer: probleme, utilisateur, valeur",Gregoire Burgé,40,Alignement faible,"Alignement sujet faible: les temoins abordent clairement la necessite d'aller voir hors du laboratoire pour comprendre le besoin reel, mais ils explicitent peu la facon de qualifier le probleme concret a resoudre."
M1,T3,VIDÉO 3 : IDENTIFIER UN BESOIN RÉEL + SORTIR DU LABORATOIRE (fusion),Script monte (Trancript_Video3.docx),"Script monté (Trancript_Video3.docx), 5 temoins, banque Clarisse 56 seq. Resume: la validation terrain du besoin et les echanges avec des acteurs externes; la sortie du laboratoire pour confronter l'idee aux usages. Vigilance: pas de manque majeur au niveau du cadrage sujet. Temoins: Loïc Rajjou, Jean-Jacques Greffet, Yann Monier, Muriel Thomas, Sylvia Cohen-Kaminski.","Vidéo Expert 4: Résultat scientifique, POC, prototype, MVP et TRL. Clarifier les niveaux de preuve. — Retenu: Stephanie Oger-Roussel | Vidéo Expert 5: Dérisquer un projet par étapes. Prématuration, maturation, jalons techniques et commerciaux, critères de décision. — Retenu: Virginia Branco","Cible expert (Vidéo Expert 4, Vidéo Expert 5): Transformer les retours temoins en methode transmissible (etapes, outils, points de vigilance). | Point d'appui temoins: la validation terrain du besoin et les echanges avec des acteurs externes.","L’apprenant sait identifier le niveau de preuve dont il dispose et la prochaine incertitude qu’il doit lever. Il comprend qu’une preuve scientifique n’est pas encore nécessairement une preuve d’usage, d’industrialisation ou de marché.","Abordé: besoin, labo | A développer: terrain, validation, preuve","Stephanie Oger-Roussel, Virginia Branco",40,Alignement faible,"Alignement sujet faible: les temoins abordent clairement la validation terrain du besoin et les echanges avec des acteurs externes, mais la profondeur de traitement reste encore partielle."
M1,T4,VIDÉO 4 : UNE IDÉE NE SUFFIT PAS + FREINS ET LEVIERS (fusion),Script monte (Trancript_Video4.docx),"Script monté (Trancript_Video4.docx), 5 temoins, banque Clarisse 65 seq. Resume: les freins concrets rencontres pour transformer une idee en projet viable; les leviers mobilises pour avancer malgre les incertitudes. Vigilance: pas de manque majeur au niveau du cadrage sujet. Temoins: Jean-Jacques Greffet, Sylvia Cohen-Kaminski, Yann Monier, Loïc Rajjou, Muriel Thomas.","Vidéo Expert 6: Le réflexe de déclaration avant toute divulgation. Confidentialité, nouveauté, publication, congrès, soutenance et DI. — Retenu: Stephanie Sano | Vidéo Expert 7: À qui parler et avec quoi arriver ? Premier contact, rôle du chargé de valorisation et informations utiles pour examiner un résultat. — Retenu: Arielle Santé, Stephanie Sano","Cible expert (Vidéo Expert 6, Vidéo Expert 7): Transformer les retours temoins en methode transmissible (etapes, outils, points de vigilance). | Point d'appui temoins: les freins concrets rencontres pour transformer une idee en projet viable.","Face à un résultat potentiellement valorisable, l’apprenant sait qu’il doit contacter sa structure de valorisation avant de publier ou de communiquer. Il sait préparer ce premier échange.","Abordé: idee, freins, legitimite | A développer: leviers, doutes","Stephanie Sano, Arielle Santé",60,Alignement moyen,"Alignement sujet moyen: les temoins abordent clairement les freins concrets rencontres pour transformer une idee en projet viable, et les principaux axes attendus apparaissent globalement couverts."
M2,T5,VIDÉO 5 : PROTECTION ET VALORISATION,Script monte (Trancript_Vidéo5.docx),"Script monté (Trancript_Vidéo5.docx), 4 temoins, banque Clarisse 25 seq. Resume: les enjeux de propriete intellectuelle (brevet, secret, divulgation); la logique de valorisation et de protection en amont des publications. Vigilance: pas de manque majeur au niveau du cadrage sujet. Temoins: Yann Monier, Loïc Rajjou, Muriel Thomas, Sylvia Cohen-Kaminski.","Vidéo Expert 8: Choisir un mode de protection adapté. Brevetabilité, secret, savoir-faire, logiciel, preuve et confidentialité. — Retenu: Arielle Santé, Stanislas De Lapasse | Vidéo Expert 9: La PI comme actif stratégique. Barrière à l’entrée, pouvoir de négociation, crédibilité et articulation avec le modèle de valorisation. — Retenu: Antoine Latreille, Stanislas De Lapasse","Cible expert (Vidéo Expert 8, Vidéo Expert 9): Consolider les acquis avec des cas d'application, des erreurs frequentes et des reperes de mise en oeuvre. | Point d'appui temoins: les enjeux de propriete intellectuelle (brevet, secret, divulgation).","L’apprenant comprend que « breveter » n’est pas une réponse automatique. Il sait identifier les principales questions qui orientent le choix entre brevet, secret et savoir-faire.","Abordé: protection, valorisation, propriete intellectuelle, brevet, secret | A développer: pi","Arielle Santé, Stanislas De Lapasse, Antoine Latreille",83,Alignement fort,"Alignement sujet fort: les temoins abordent clairement les enjeux de propriete intellectuelle (brevet, secret, divulgation), et les principaux axes attendus apparaissent globalement couverts."
M2,T6,VIDÉO 6 : TRANSFERT ET LICENSING,Script monte (Trancript_Video6.docx),"Script monté (Trancript_Video6.docx), 4 temoins, banque Clarisse 23 seq. Resume: les options de transfert et de mise en marche de la valorisation (licence, startup, partenariats); les choix entre plusieurs voies selon le projet et son niveau de maturite. Vigilance: pas de manque majeur au niveau du cadrage sujet. Temoins: Sylvia Cohen-Kaminski, Loïc Rajjou, Jean-Jacques Greffet, Muriel Thomas.","Vidéo Expert 10: Quelle voie de valorisation pour quel projet ? Licence, création, co-développement, partenariat et critères de choix. — Retenu: Arielle Santé, Virginia Branco | Vidéo Expert 11: Les mécanismes juridiques du transfert. Licence exclusive ou non, cession, contrat de collaboration, copropriété et principes de négociation. — Retenu: Soizic Lefeuvre","Cible expert (Vidéo Expert 10, Vidéo Expert 11): Transformer les retours temoins en methode transmissible (etapes, outils, points de vigilance). | Point d'appui temoins: les options de transfert et de mise en marche de la valorisation (licence, startup, partenariats).",L’apprenant comprend que la création d’entreprise n’est qu’une voie possible. Il sait comparer les grandes options et identifier les questions à traiter avec les professionnels de la valorisation.,"Abordé: transfert, licence | A développer: licensing, startup, valorisation","Arielle Santé, Virginia Branco, Soizic Lefeuvre",40,Alignement faible,"Alignement sujet faible: les temoins abordent clairement les options de transfert et de mise en marche de la valorisation (licence, startup, partenariats), mais la profondeur de traitement reste encore partielle."
M3,T7,VIDÉO 7 : VOUS N'ÊTES PAS SEUL(E),Script monte (Trancript_Video7.docx),"Script monté (Trancript_Video7.docx), 4 temoins, banque Clarisse 18 seq. Resume: l'importance de l'ecosysteme d'accompagnement et des relais autour du projet. Vigilance: le besoin de competences complementaires pour ne pas avancer seul. Temoins: Muriel Thomas, Loïc Rajjou, Sylvia Cohen-Kaminski, Jean-Jacques Greffet.","Vidéo Expert 12: De la prématuration à la maturation. Étapes, sélection, investissement, jalons et accompagnement. — Retenu: Fatoumata Aonon | Vidéo Expert 13: Ce que fait réellement un incubateur. Coaching, réseau, formation, confrontation, équipe et préparation de la création. — Retenu: a definir | Vidéo Expert 13 BIS: Autre structures (design spot, Fablab, pole de compétitivité,OTT, etc) — Retenu: Yoann Montenot","Cible expert (Vidéo Expert 12, Vidéo Expert 13): Prioriser le besoin de competences complementaires pour ne pas avancer seul, puis structurer un cadre operatoire concret (methode, criteres, points de decision). | Point d'appui temoins: l'importance de l'ecosysteme d'accompagnement et des relais autour du projet.",L’apprenant sait distinguer maturation et incubation. Il sait identifier à quel moment et pour quel besoin solliciter chacune de ces structures.,"Abordé: ecosysteme, accompagnement, maturation, incubation, reseau | A développer: Aucun axe sujet manquant majeur detecte","Fatoumata Aonon, Yoann Montenot",100,Alignement fort,"Alignement sujet fort: les temoins abordent clairement l'importance de l'ecosysteme d'accompagnement et des relais autour du projet, mais ils explicitent peu le besoin de competences complementaires pour ne pas avancer seul."
M3,T8,"VIDÉO 8 : FINANCEMENTS, CONCOURS ET TEMPS POUR ENTREPRENDRE",Script monte (Trancript_Vidéo8.docx),"Script monté (Trancript_Vidéo8.docx), 4 temoins, banque Clarisse 15 seq. Resume: les besoins de financement a differents moments du projet; l'articulation entre financement et progression concrète du projet. Vigilance: pas de manque majeur au niveau du cadrage sujet. Temoins: Jean-Jacques Greffet, Yann Monier, Muriel Thomas, Sylvia Cohen-Kaminski.","Vidéo Expert 14: La chaîne des financements de l’innovation. Prématuration, maturation, aides non dilutives, concours, Bpifrance et financement privé. — Retenu: Fatoumata Aonon | Vidéo Expert 15: Comprendre la logique des investisseurs. Dilution, retour attendu, rythme de croissance, gouvernance et compatibilité avec le projet. — Retenu: a definir","Cible expert (Vidéo Expert 14, Vidéo Expert 15): Transformer les retours temoins en methode transmissible (etapes, outils, points de vigilance). | Point d'appui temoins: les besoins de financement a differents moments du projet.","L’apprenant sait qu’un financement correspond à un stade, à une dépense et à un niveau de risque. Il distingue subvention, avance, investissement en capital et chiffre d’affaires.","Abordé: financement, concours, temps | A développer: investisseur, levee",Fatoumata Aonon,60,Alignement moyen,"Alignement sujet moyen: les temoins abordent clairement les besoins de financement a differents moments du projet, et les principaux axes attendus apparaissent globalement couverts."
M4,T9,VIDÉO 9 : PARTENARIATS ET POSTURE : CONSTRUIRE UNE ÉQUIPE,Script monte (Trancript_Vidéo9.docx),"Script monté (Trancript_Vidéo9.docx), 4 temoins, banque Clarisse 7 seq. Resume: la construction d'une equipe et de partenariats pour porter un projet ambitieux. Vigilance: la posture et le cadre relationnel (roles, contrats, gouvernance). Temoins: Loïc Rajjou, Muriel Thomas, Sylvia Cohen-Kaminski, Jean-Jacques Greffet.","Vidéo Expert 16: Cartographier les compétences nécessaires. Complémentarité, recrutement, rôle du CEO, du CSO et du CTO, et critères humains. — Retenu: Pascal Corbel | Vidéo Expert 17: Organiser la relation entre fondateurs. Gouvernance, responsabilités, répartition du pouvoir, parts, pacte et prévention des conflits. — Retenu: a definir","Cible expert (Vidéo Expert 16, Vidéo Expert 17): Prioriser la posture et le cadre relationnel (roles, contrats, gouvernance), puis structurer un cadre operatoire concret (methode, criteres, points de decision). | Point d'appui temoins: la construction d'une equipe et de partenariats pour porter un projet ambitieux.",L’apprenant sait identifier les compétences manquantes autour de son projet et réfléchir à la place qu’il souhaite réellement occuper.,"Abordé: equipe | A développer: partenariat, posture, gouvernance, competences",Pascal Corbel,20,Alignement faible,"Alignement sujet faible: les temoins abordent clairement la construction d'une equipe et de partenariats pour porter un projet ambitieux, mais ils explicitent peu la posture et le cadre relationnel (roles, contrats, gouvernance)."
M4,T10,VIDÉO 10 : ENRICHIR SON LANGAGE,Script monte (Trancript_Vidéo10.docx),"Script monté (Trancript_Vidéo10.docx), 4 temoins, banque Clarisse 19 seq. Resume: la necessite d'adapter son langage selon les interlocuteurs; le passage d'un discours academique a un discours de valeur et d'usage. Vigilance: pas de manque majeur au niveau du cadrage sujet. Temoins: Loïc Rajjou, Muriel Thomas, Sylvia Cohen-Kaminski, Jean-Jacques Greffet.","Vidéo Expert 18: Passer de la preuve scientifique à la valeur pour l’interlocuteur. Adapter le message selon l’utilisateur, le décideur, le partenaire ou l’investisseur. — Retenu: a definir | Vidéo Expert 19: La posture entrepreneuriale s’apprend. Feedback, entraînement, mentorat et évolution de l’identité professionnelle. — Retenu: Pascal Corbel","Cible expert (Vidéo Expert 18, Vidéo Expert 19): Transformer les retours temoins en methode transmissible (etapes, outils, points de vigilance). | Point d'appui temoins: la necessite d'adapter son langage selon les interlocuteurs.","L’apprenant sait présenter ses travaux autrement qu’à des pairs scientifiques, en partant du problème, de l’usage et de la valeur attendue.","Abordé: langage, communication, valeur | A développer: pitch, interlocuteur",Pascal Corbel,60,Alignement moyen,"Alignement sujet moyen: les temoins abordent clairement la necessite d'adapter son langage selon les interlocuteurs, et les principaux axes attendus apparaissent globalement couverts."
